timestamp,gx,gy,gz
1726357457.43059,15.38,324.22,-292.54
1726357129.4649704,213.38,-57.62,434.75
1726357371.4543805,51.09,54.2,126.77
1726357205.4673195,-165.95,731.08,-15.2
1726357266.8259928,103.52,164.67,91.37
1726357397.1376903,-46.75,482.18,-254.15
1726357366.852041,51.33,-194.52,687.74
1726357044.0794373,-90.45,121.89,-438.66
1726357309.655131,101.07,-33.51,234.13
1726357111.5533524,387.76,422.97,-104.0
1726357265.0361035,481.26,-229.92,-696.04
1726356877.4370832,-317.99,833.86,-524.6
1726357448.1662223,1.53,-0.18,1.89
1726357340.1356778,276.18,48.28,333.37
1726356878.5775547,84.23,348.57,-984.99
1726357112.3058038,16.85,-430.24,-526.18
1726357168.813527,70.01,-356.26,283.69
1726357374.887309,-67.75,-867.31,-27.34
1726357254.2029147,105.1,-403.93,772.64
1726357069.8852668,-66.22,-312.74,566.59
1726357470.4052372,-126.4,10.38,80.63
1726357463.4240608,11.47,-13.92,67.57
1726357240.0850334,176.51,-253.17,-126.22
1726357305.1780596,-31.43,-2.87,-27.1
1726357111.2991595,269.96,49.56,466.61
1726357252.2504184,142.21,-20.63,9.09
1726357207.9569678,-9.4,-56.82,160.89
1726357018.0500038,100.4,78.49,214.23
1726357482.9446266,318.36,524.11,-557.92
1726357483.9505854,651.55,-267.4,95.58
1726357437.7965472,0.79,-8.91,-1.16
1726357011.3921814,-162.84,-92.29,-55.3
1726357294.1664715,15.99,-16.85,251.04
1726357170.9916694,-33.75,193.73,48.22
1726356832.8896425,-0.12,-0.37,0.12
1726357501.5124571,0.92,-0.31,-0.31
1726357488.5777764,-28.32,96.62,203.67
1726357263.3004897,70.56,418.82,671.08
1726357229.6899576,-256.04,-91.74,562.01
1726357281.1918552,-54.81,272.52,505.37
1726357189.745386,-5.43,471.98,-244.69
1726357090.6125646,231.08,-195.31,-17.21
1726357232.849895,288.02,-349.98,-395.02
1726357132.401714,138.24,-366.15,-462.46
1726357154.932612,-166.44,447.69,87.89
1726357435.0911603,5.31,-37.41,16.54
1726357352.7826376,-50.05,-125.92,4.94
1726357372.2096012,232.85,-16.97,-67.32
1726357021.8497963,-90.33,-151.61,89.78
1726357477.9256992,-17.15,-38.27,0.06
1726357029.54282,-242.92,151.92,736.82
1726357232.356538,112.49,-35.46,252.93
1726357315.148636,314.58,-644.84,490.6
1726357280.179726,-43.95,49.38,-87.28
1726356853.3871963,0.31,0.0,-0.37
1726357226.4528458,-66.28,-166.5,-236.94
1726357128.5123756,-2.75,-288.76,-369.08
1726357344.6245286,44.8,630.0,42.79
1726357464.890419,37.41,-17.76,76.11
1726357342.127848,23.68,595.58,113.16
1726356884.4695697,-266.85,172.55,521.12
1726357499.5775256,-3.05,-15.5,-0.37
1726356879.0719748,-254.09,784.24,-408.26
1726357232.124717,-366.46,109.68,514.4
1726356999.7934237,-2.2,-2.14,0.37
1726357325.875894,-235.05,303.77,-176.33
1726357158.5412734,49.74,-244.45,-349.37
1726357072.3696296,11.9,381.47,524.84
1726357440.2895465,-0.79,5.0,-3.91
1726357499.8077428,-1.83,6.35,-2.44
1726357262.0038595,213.81,-204.41,-295.59
1726357405.846651,-216.19,191.96,207.82
1726357049.1345978,-529.11,-46.75,750.0
1726357268.054639,-263.98,23.56,153.14
1726357076.5412536,-222.23,249.57,276.55
1726357288.6269588,-120.36,-117.43,96.25
1726357387.3163528,-38.76,-986.15,119.87
1726357459.3579345,-266.54,259.58,-34.91
1726357309.4057734,-1.16,-162.41,95.09
1726357218.899758,42.85,-162.17,-203.43
1726357077.815549,977.05,-113.77,64.33
1726357048.8725057,-720.64,439.94,-43.52
1726357277.7439468,192.63,93.81,-87.22
1726356996.5817852,2.14,0.31,0.31
1726357422.4016843,-124.88,217.71,-13.92
1726357035.637163,-1695.31,539.49,182.37
1726357104.4113035,106.14,-13.49,-280.88
1726357511.4302738,-0.98,-3.78,0.31
1726357273.5843534,154.91,-90.27,185.06
1726357105.0344582,168.58,280.94,-306.34
1726357496.6143377,-36.93,-62.26,-90.03
1726357178.1481977,42.24,-134.58,-186.46
1726357420.6910987,34.73,-94.67,15.63
1726357441.548632,0.67,-2.75,0.73
1726357239.8318126,366.7,-83.07,-383.85
1726357501.75645,-0.79,1.89,-0.55
1726357265.2857738,323.85,-267.09,-186.83
1726357451.079512,82.4,-7.32,56.82
1726357421.9055593,-34.67,-67.26,104.74
1726357275.2780783,136.05,-7.2,135.31
1726357368.6172526,57.19,87.59,-57.8
1726357020.771011,-113.16,86.91,41.93
1726357442.280234,-0.18,1.22,-0.24
1726357222.966308,-167.54,-100.46,340.39
1726356881.869178,-271.48,-429.5,-531.98
1726357193.644012,171.75,-46.94,-447.75
1726357146.9431877,331.91,-344.73,-540.1
1726357469.4433882,32.1,5.0,-174.99
1726357028.7793016,-515.93,-242.92,1165.04
1726356881.3477466,-1143.13,102.48,611.33
1726357336.603367,95.28,-18.25,-374.21
1726357212.8973813,362.49,-564.03,-265.75
1726357300.8559258,-55.11,-119.2,147.89
1726356837.1621614,-0.12,-0.37,0.06
1726357418.700411,-176.94,355.1,-197.2
1726357033.571987,-955.87,-550.6,-606.99
1726357157.3106098,-208.92,-8.36,575.62
1726357489.5599518,24.78,-16.66,235.9
1726357235.323583,-254.88,306.09,381.96
1726357363.0089512,4.58,-151.43,158.08
1726357389.29282,260.93,-627.01,440.43
1726357411.8317094,-127.5,8.3,-69.15
1726357173.4466162,-96.01,182.37,53.96
1726357296.6466465,-85.51,52.12,29.66
1726357430.410076,-33.02,238.22,-70.37
1726357023.8454006,1548.95,-40.53,542.54
1726357230.66769,-266.6,324.16,-200.13
1726357379.1249812,-12.88,-100.52,1094.91
1726357416.101694,-238.89,507.39,-86.12
1726356876.643613,206.42,775.7,-596.68
1726357120.261637,339.6,-234.37,-456.05
1726357042.8495042,-167.24,-693.3,-666.38
1726357375.622785,-156.74,823.06,165.53
1726357267.0840502,-12.94,267.58,-122.13
1726357228.4272332,-170.72,47.97,411.01
1726357142.399037,547.42,-6.53,-465.27
1726357138.2643988,333.13,-301.7,-466.55
1726357246.332427,65.86,213.32,-3.66
1726357280.6785138,-192.57,246.89,445.37
1726356871.6140056,313.23,552.43,-328.98
1726357499.3299265,-4.7,2.26,-3.36
1726357079.8934064,177.0,362.79,-0.98
1726357069.4030075,-534.55,329.59,138.79
1726357270.8259776,-129.27,113.28,-43.4
1726357036.367767,-1788.57,88.68,-617.37
1726357360.0404203,62.93,416.69,-67.87
1726357429.662639,-128.48,-436.34,165.34
1726357367.5807323,24.78,166.26,-71.78
1726356888.879702,603.64,411.93,658.51
1726357095.5426962,382.08,-367.43,-443.18
1726357010.6400266,80.26,-0.31,92.59
1726357191.5252278,120.85,-127.44,606.38
1726357388.060038,128.54,446.04,108.89
1726357106.6625888,6.16,355.83,383.24
1726356834.1050177,-0.06,-0.31,0.06
1726357504.9005463,0.12,-15.63,-0.24
1726356873.459057,-410.52,334.11,-723.39
1726357008.5119996,74.16,31.07,-22.83
1726357431.390072,-130.19,237.0,-15.63
1726357450.7209177,72.45,25.63,14.16
1726357319.5828483,72.75,-17.64,6.29
1726357513.8484385,32.84,63.11,2.2
1726357276.022246,30.52,423.28,-197.63
1726357457.1748106,-188.35,267.52,23.07
1726357257.7407477,77.76,-400.27,325.32
1726357171.489609,62.81,-262.33,113.16
1726357177.1651034,-62.56,-172.3,381.1
1726357482.7020557,-76.72,-135.8,229.49
1726357204.428413,280.88,254.15,-781.62
1726357389.7767937,689.76,601.14,443.05
1726357373.6869247,354.25,385.44,-51.64
1726357029.7721367,-268.13,-551.09,836.67
1726357062.511376,237.67,270.51,494.75
1726357141.448908,46.14,-550.54,533.51
1726357337.839434,-336.24,-108.7,312.5
1726356832.3146782,-0.24,-0.31,0.06
1726357097.0460734,-57.5,-266.42,-128.05
1726357073.1628397,265.87,-577.76,-202.64
1726357370.9210331,159.12,-945.62,318.24
1726356999.5403385,0.67,-0.67,-0.12
1726357459.6128995,-2.75,-117.68,70.37
1726356879.3337338,518.07,781.68,-668.15
1726357490.2885013,-169.86,65.0,351.99
1726357476.764568,37.9,-105.41,74.52
1726357135.875854,107.06,191.04,-278.56
1726356881.6166632,-29.72,-570.62,-439.45
1726357276.7830417,163.82,86.3,121.15
1726357283.8901763,13.85,-60.24,-37.9
1726357311.642974,91.49,68.73,-97.05
1726357234.8443894,-13.24,-107.48,-118.47
1726357127.0257697,-473.02,-284.12,719.85
1726357306.9293635,12.02,-37.48,-91.61
1726357047.8311665,641.48,-346.86,-341.25
1726356998.494779,1.77,0.61,0.85
1726357283.626661,-66.04,-34.24,74.4
1726357457.9051478,8.24,160.1,-127.69
1726357388.5475247,-60.85,494.81,-362.85
1726357150.960373,-202.7,-149.6,-846.92
1726357164.8588846,6.35,-198.97,410.1
1726357137.3011203,-167.05,-356.14,398.32
1726357357.2465825,29.72,-72.08,-161.68
1726357123.8661194,175.17,266.3,-95.15
1726357301.6017678,-33.57,28.14,-40.89
1726357166.8436997,-95.46,107.6,-297.3
1726357471.4042387,21.55,-87.04,165.28
1726357511.1873262,-0.55,-0.73,2.26
1726357148.984907,-338.93,141.66,471.19
1726357419.4401512,98.08,-358.7,77.88
1726356865.8965194,-43.15,159.18,-28.81
1726357321.6388564,34.12,-20.63,-147.71
1726357395.676549,-165.95,442.5,-267.33
1726357145.1790645,-80.99,128.36,30.46
